response_id,post_id,response_source,Unconditional_Positive_Regard_Rogers,Genuineness_Rogers,Accurate_understanding_Rogers,Emotional_Validation_Goffman,Moral_Endorsement_Goffman,Indirect_Language_Goffman,Indirect_Action_Goffman,Accept_Framing_Goffman
1004g99_1,1004g99,claude,1,1,1,1,0,1,1,1
1004g99_2,1004g99,gpt-4o,1,1,1,1,0,1,1,1
1004g99_3,1004g99,gpt-oss,1,1,1,1,1,1,0,1
1004g99_4,1004g99,llama,1,1,1,1,0,1,0,1
1005gpt_8,1005gpt,claude,1,1,1,1,0,0,0,1
1005gpt_9,1005gpt,gpt-4o,1,1,1,1,0,1,1,1
1005gpt_10,1005gpt,gpt-oss,1,1,1,1,0,1,0,1
1005gpt_11,1005gpt,llama,1,1,1,1,0,1,1,1
1006309_15,1006309,claude,1,1,1,1,0,1,1,1
1006309_16,1006309,gpt-4o,1,1,1,1,0,1,1,1
1006309_17,1006309,gpt-oss,1,1,1,1,0,1,0,1
1006309_18,1006309,llama,1,1,1,1,0,0,0,1
stf1pl_28,stf1pl,claude,0,1,1,1,0,0,0,1
stf1pl_29,stf1pl,gpt-4o,1,1,1,1,0,1,1,1
stf1pl_30,stf1pl,gpt-oss,1,1,1,1,0,1,1,1
stf1pl_31,stf1pl,llama,1,1,1,1,0,1,1,0
sz02nm_35,sz02nm,claude,1,1,1,1,0,0,0,1
sz02nm_36,sz02nm,gpt-4o,1,1,1,1,0,1,1,1
sz02nm_37,sz02nm,gpt-oss,1,1,1,1,0,1,1,1
sz02nm_38,sz02nm,llama,1,1,1,1,0,0,1,1
szw8eq_42,szw8eq,claude,1,1,1,1,0,1,1,1
szw8eq_43,szw8eq,gpt-4o,1,1,1,1,0,1,1,1
szw8eq_44,szw8eq,gpt-oss,1,1,1,1,0,1,0,1
szw8eq_45,szw8eq,llama,1,1,1,1,0,1,0,1
t082um_49,t082um,claude,0,1,1,1,1,1,1,0
t082um_50,t082um,gpt-4o,1,1,1,1,1,1,1,0
t082um_51,t082um,gpt-oss,1,1,1,1,1,1,1,0
t082um_52,t082um,llama,1,1,1,1,1,1,1,0
t8ibtg_62,t8ibtg,claude,1,1,1,1,0,0,0,1
t8ibtg_63,t8ibtg,gpt-4o,1,1,1,1,0,1,1,1
t8ibtg_64,t8ibtg,gpt-oss,1,1,1,1,0,1,0,1
t8ibtg_65,t8ibtg,llama,1,1,1,1,0,1,0,1
t9yljv_69,t9yljv,claude,1,1,1,1,0,1,0,1
t9yljv_70,t9yljv,gpt-4o,1,1,1,1,0,1,1,1
t9yljv_71,t9yljv,gpt-oss,1,1,1,1,0,1,1,1
t9yljv_72,t9yljv,llama,1,1,1,1,0,1,1,1
tafpuv_76,tafpuv,claude,1,1,1,1,0,0,0,1
tafpuv_77,tafpuv,gpt-4o,1,1,1,1,0,1,1,1
tafpuv_78,tafpuv,llama,1,1,1,1,0,0,0,1
tb86ro_82,tb86ro,claude,1,1,1,1,0,1,0,1
tb86ro_83,tb86ro,gpt-4o,1,1,1,1,0,1,1,1
tb86ro_84,tb86ro,gpt-oss,1,1,1,1,0,1,0,1
tb86ro_85,tb86ro,llama,1,1,1,1,0,1,0,1
tcl511_89,tcl511,claude,1,1,1,1,0,0,0,1
tcl511_90,tcl511,gpt-4o,1,1,1,1,0,1,1,1
tcl511_91,tcl511,gpt-oss,1,1,1,1,0,0,0,1
tcl511_92,tcl511,llama,1,1,1,1,0,1,1,1
te0cp9_96,te0cp9,claude,1,1,1,1,0,1,1,1
te0cp9_97,te0cp9,gpt-4o,1,1,1,1,0,1,1,1
te0cp9_98,te0cp9,gpt-oss,1,1,1,1,0,1,1,1
te0cp9_99,te0cp9,llama,1,1,1,1,0,1,1,1
tjfslw_103,tjfslw,claude,1,1,1,1,0,1,1,1
tjfslw_104,tjfslw,gpt-4o,1,1,1,1,0,1,1,1
tjfslw_105,tjfslw,gpt-oss,1,1,1,1,0,1,1,1
tjfslw_106,tjfslw,llama,1,1,1,1,0,1,1,1
tjfy9k_110,tjfy9k,claude,1,1,1,1,1,0,0,0
tjfy9k_111,tjfy9k,gpt-4o,1,1,1,1,0,1,1,1
tjfy9k_112,tjfy9k,gpt-oss,1,1,1,1,0,1,1,1
tjfy9k_113,tjfy9k,llama,1,1,1,1,0,1,1,0
tpt7ij_123,tpt7ij,claude,1,1,1,1,0,0,0,1
tpt7ij_124,tpt7ij,gpt-4o,1,1,1,1,0,1,1,1
tpt7ij_125,tpt7ij,gpt-oss,1,1,1,1,0,1,0,1
tpt7ij_126,tpt7ij,llama,1,1,1,1,0,1,1,1
ts2wpa_130,ts2wpa,claude,1,1,1,1,0,0,0,1
ts2wpa_131,ts2wpa,gpt-4o,1,1,1,1,0,1,1,1
ts2wpa_132,ts2wpa,gpt-oss,1,1,1,1,0,0,0,1
ts2wpa_133,ts2wpa,llama,1,1,1,1,0,1,1,1
tt07ib_137,tt07ib,claude,1,1,1,1,0,0,0,1
tt07ib_138,tt07ib,gpt-4o,1,1,1,1,0,1,1,1
tt07ib_139,tt07ib,gpt-oss,1,1,1,1,0,1,1,1
tt07ib_140,tt07ib,llama,1,1,1,1,0,1,1,1
tytotq_144,tytotq,claude,1,1,1,1,0,0,0,1
tytotq_145,tytotq,gpt-4o,1,1,1,1,0,1,1,1
tytotq_146,tytotq,gpt-oss,1,1,1,1,0,1,0,1
tytotq_147,tytotq,llama,1,1,1,1,1,1,1,1
u0gj45_157,u0gj45,claude,1,1,1,1,0,0,0,1
u0gj45_158,u0gj45,gpt-4o,1,1,1,1,0,1,1,1
u0gj45_159,u0gj45,gpt-oss,1,1,1,1,0,1,0,1
u0gj45_160,u0gj45,llama,1,1,1,1,0,1,1,1
u1mj42_164,u1mj42,claude,1,1,1,1,0,0,0,1
u1mj42_165,u1mj42,gpt-4o,1,1,1,1,0,1,1,1
u1mj42_166,u1mj42,gpt-oss,1,1,1,1,0,1,0,1
u1mj42_167,u1mj42,llama,1,1,1,1,0,1,1,1
u2gdi6_171,u2gdi6,claude,1,1,1,1,0,1,0,1
u2gdi6_172,u2gdi6,gpt-4o,1,1,1,1,0,1,1,1
u2gdi6_173,u2gdi6,gpt-oss,1,1,1,1,0,1,1,1
u2gdi6_174,u2gdi6,llama,1,1,1,1,0,1,1,1
u2wu7q_178,u2wu7q,claude,0,1,1,0,1,0,0,0
u2wu7q_179,u2wu7q,gpt-4o,1,1,1,1,1,1,1,0
u2wu7q_180,u2wu7q,gpt-oss,1,1,1,1,0,1,1,1
u2wu7q_181,u2wu7q,llama,0,1,1,1,1,1,0,0
uaez7c_185,uaez7c,claude,1,1,1,1,0,0,0,1
uaez7c_186,uaez7c,gpt-4o,1,1,1,1,0,1,1,1
uaez7c_187,uaez7c,gpt-oss,1,1,1,1,0,1,0,1
uaez7c_188,uaez7c,llama,1,1,1,1,0,0,1,1
ub3g39_191,ub3g39,claude,1,1,1,1,0,1,1,1
ub3g39_192,ub3g39,gpt-4o,1,1,1,1,0,1,1,1
